word,nr. of tokens,tokens,word score
crazily,3,c_##raz_##ily,-16.951786041259766
crazy,1,crazy,-7.4328460693359375
creak,2,c_##reak,-13.661453247070312
creaked,2,c_##reaked,-16.16385507583618
creaking,3,c_##reak_##ing,-15.861300945281982
cream,1,cream,-11.025586128234863
creamer,2,cream_##er,-15.498106956481934
creamy,2,cream_##y,-12.243856430053711
crease,2,c_##rease,-14.702178478240967
creased,2,c_##reased,-16.61921501159668
create,1,create,-11.70026683807373
created,1,created,-9.99186897277832
creates,1,creates,-13.971630096435547
creating,1,creating,-13.57492446899414
creation,1,creation,-10.998587608337402
creations,1,creations,-12.671833038330078
creative,1,creative,-9.864226341247559
creatively,2,creative_##ly,-13.302091598510742
creativeness,2,creative_##ness,-12.402643203735352
creativity,1,creativity,-12.487639427185059
creator,1,creator,-10.249921798706055
creators,1,creators,-12.263107299804688
creature,1,creature,-10.038945198059082
creche,3,c_##re_##che,-19.098499298095703
credentials,1,credentials,-14.230117797851562
credibly,3,c_##red_##ibly,-19.875849723815918
credit,1,credit,-10.866731643676758
creditable,2,credit_##able,-14.669873237609863
credited,1,credited,-12.589946746826172
creditors,1,creditors,-14.462831497192383
credits,1,credits,-12.299989700317383
credo,2,c_##redo,-14.772741317749023
credulity,4,c_##red_##uli_##ty,-22.95082664489746
creed,2,c_##reed,-11.609865188598633
creek,1,creek,-11.990808486938477
creep,1,creep,-10.840067863464355
creeper,2,creep_##er,-12.371241569519043
creeping,1,creeping,-14.007779121398926
creepy,1,creepy,-10.515506744384766
creighton,4,c_##re_##ight_##on,-20.196224212646484
cremated,3,c_##rem_##ated,-16.97442388534546
creole,2,c_##reole,-15.274781227111816
crepe,3,c_##re_##pe,-14.468155860900879
crept,1,crept,-13.063812255859375
crest,1,crest,-12.59868049621582
creston,2,crest_##on,-21.380234718322754
crests,2,crest_##s,-15.50363540649414
crew,1,crew,-9.954148292541504
crewmen,2,crew_##men,-14.48531436920166
cricket,1,cricket,-12.570261001586914
crickets,2,cricket_##s,-13.256831169128418
cried,1,cried,-13.286467552185059
cries,1,cries,-14.313892364501953
crime,1,crime,-10.32976245880127
crimean,2,crime_##an,-25.7095890045166
crimes,1,crimes,-11.814732551574707
criminal,1,criminal,-9.808035850524902
criminality,2,criminal_##ity,-12.721341133117676
criminals,1,criminals,-10.582600593566895
crimson,1,crimson,-12.405156135559082
cringed,1,cringed,-14.81324577331543
cringing,2,c_##ringing,-13.225067138671875
crippling,3,c_##rip_##pling,-15.458324432373047
crises,2,c_##rises,-16.200284957885742
crisis,1,crisis,-12.269024848937988
crisp,1,crisp,-10.141852378845215
cristo,2,c_##risto,-16.260677814483643
criteria,1,criteria,-13.057196617126465
criterion,1,criterion,-13.058096885681152
critic,1,critic,-13.869325637817383
critical,1,critical,-10.400230407714844
critically,1,critically,-15.022287368774414
criticism,1,criticism,-14.119226455688477
criticisms,1,criticisms,-17.279020309448242
criticize,2,critic_##ize,-15.60197925567627
criticized,1,criticized,-14.7810697555542
criticizing,1,criticizing,-17.0589542388916
critics,1,critics,-13.738004684448242
critique,1,critique,-14.833327293395996
croaked,3,c_##roa_##ked,-19.283084869384766
croakin,3,c_##roa_##kin,-27.126567840576172
croaking,3,c_##roa_##king,-18.65465545654297
crocked,3,c_##rock_##ed,-18.451875686645508
crocodile,2,c_##rocodile,-11.957425117492676
croix,3,c_##roi_##x,-20.043326377868652
crombie,3,c_##rom_##bie,-18.072280883789062
cromwell,3,c_##rom_##well,-22.474764823913574
cronies,3,c_##ron_##ies,-15.899609088897705
crook,2,c_##rook,-11.448994636535645
crooked,1,crooked,-10.936569213867188
crooks,3,c_##rook_##s,-12.862085342407227
crooned,3,c_##roon_##ed,-17.9812068939209
crop,1,crop,-13.367033004760742
cropped,2,crop_##ped,-13.740127563476562
crops,1,crops,-13.814005851745605
crosby,3,c_##ros_##by,-23.788487911224365
cross,1,cross,-10.317502975463867
crossbars,3,cross_##bar_##s,-16.837936878204346
crossed,1,crossed,-13.378077507019043
crosses,1,crosses,-15.138823509216309
crossing,1,crossing,-14.196675300598145
crossings,1,crossings,-17.24357795715332
crosson,2,cross_##on,-20.75748920440674
crossover,1,crossover,-14.321348190307617
crossroading,3,cross_##roa_##ding,-31.25494956970215
crossroads,2,cross_##roads,-13.01767635345459
crossways,2,cross_##ways,-17.164082050323486
crosswise,2,cross_##wise,-15.736432075500488
crouch,2,c_##rouch,-13.91419792175293
crouched,1,crouched,-13.50698471069336
croupier,3,c_##roup_##ier,-15.48372507095337
crow,1,crow,-12.436553001403809
crowd,1,crowd,-12.727052688598633
crowded,1,crowded,-15.120182991027832
crowder,2,crowd_##er,-19.46054697036743
crowding,2,crowd_##ing,-14.647420883178711
crowds,1,crowds,-15.63619613647461
crowed,2,crow_##ed,-13.735743522644043
crowing,2,crow_##ing,-14.094769477844238
crown,1,crown,-10.907108306884766
crowned,1,crowned,-14.187955856323242
crowning,2,crown_##ing,-12.775620460510254
crows,2,crow_##s,-12.646050453186035
croydon,3,c_##roy_##don,-22.278592586517334
crucial,1,crucial,-10.158222198486328
crucified,4,c_##ru_##ci_##fied,-16.305531978607178
crucifix,5,c_##ru_##ci_##fi_##x,-21.395944595336914
crucifixion,6,c_##ru_##ci_##fi_##xi_##on,-26.98405647277832
crude,1,crude,-11.435712814331055
crudely,2,crude_##ly,-13.392175674438477
crudities,3,c_##rud_##ities,-19.711220741271973
crudity,3,c_##rud_##ity,-13.418148517608643
cruel,1,cruel,-9.515766143798828
cruelest,2,cruel_##est,-11.871315956115723
cruelty,1,cruelty,-11.532546043395996
cruiser,1,cruiser,-13.782623291015625
cruisers,1,cruisers,-16.302284240722656
cruises,2,cruise_##s,-17.561662197113037
cruising,2,c_##ruising,-13.272085189819336
crumb,3,c_##rum_##b,-17.383069038391113
crumbled,3,c_##rum_##bled,-17.69943618774414
crumbling,2,c_##rumbling,-13.185418128967285
crummy,3,c_##rum_##my,-16.695297241210938
crumpled,1,crumpled,-13.952018737792969
crunch,2,c_##runch,-13.405060768127441
crunched,2,c_##runched,-14.980801105499268
crupper,3,c_##rup_##per,-19.243721961975098
crus,2,c_##rus,-15.100077629089355
crusade,3,c_##rus_##ade,-15.422734260559082
crusaders,4,c_##rus_##ader_##s,-13.463479995727539
crush,1,crush,-12.515121459960938
crushed,1,crushed,-11.165544509887695
crushers,2,crush_##ers,-14.66906213760376
crushing,1,crushing,-12.76440143585205
crust,1,crust,-11.343244552612305
crutches,3,c_##ru_##tches,-15.821702003479004
crux,3,c_##ru_##x,-15.144325256347656
cruz,3,c_##ru_##z,-19.44800090789795
cry,1,cry,-10.882631301879883
crying,1,crying,-13.747638702392578
crypt,2,cry_##pt,-13.798043251037598
cryptic,2,cry_##ptic,-10.409804344177246
cryptographic,3,cry_##pt_##ographic,-16.057461738586426
crystal,1,crystal,-10.054149627685547
crystalline,2,crystal_##line,-10.268838882446289
crystallites,3,crystal_##lite_##s,-21.363757133483887
crystallization,3,crystal_##li_##zation,-22.849031448364258
