word,nr. of tokens,tokens,word score
bureaucrat,2,bureau_##crat,-13.10737133026123
burgled,3,b_##urg_##led,-19.055298805236816
burial,1,burial,-11.119625091552734
burned,1,burned,-10.483926773071289
burnt,1,burnt,-10.285411834716797
bus,1,bus,-9.50479793548584
busboy,2,bus_##boy,-12.432461738586426
businessman,1,businessman,-9.934774398803711
butcher,1,butcher,-9.00070571899414
button,1,button,-9.19194221496582
buyer,1,buyer,-10.883153915405273
by,1,by,-8.349931716918945
bystander,3,by_##stand_##er,-14.419532299041748
cabbie,2,cab_##bie,-11.364518165588379
cadet,1,cadet,-11.118184089660645
calculated,1,calculated,-12.41336441040039
call,1,call,-8.690964698791504
called,1,called,-8.29252815246582
calmed,1,calmed,-12.802740097045898
campaigner,2,campaign_##er,-12.170515060424805
camper,2,camp_##er,-11.92556095123291
canceled,1,canceled,-11.707763671875
candidate,1,candidate,-9.287017822265625
capitalist,1,capitalist,-11.522943496704102
captain,1,captain,-10.325867652893066
captive,1,captive,-11.052346229553223
car,1,car,-7.346179008483887
cardiologist,3,card_##iol_##ogist,-19.825953483581543
caretaker,1,caretaker,-10.412481307983398
carnivore,4,car_##ni_##vor_##e,-19.36579132080078
carrier,1,carrier,-10.361056327819824
cartographer,2,cart_##ographer,-15.837061882019043
cartoonist,1,cartoonist,-11.038671493530273
caseworker,3,case_##work_##er,-16.26980209350586
cash,1,cash,-10.179121017456055
cashier,2,cash_##ier,-11.440068244934082
cast,1,cast,-9.899189949035645
caught,1,caught,-10.476372718811035
cautioned,2,caution_##ed,-17.612483978271484
celebrity,1,celebrity,-8.864096641540527
cellist,2,cell_##ist,-16.327092170715332
chairman,1,chairman,-10.45258617401123
challenged,1,challenged,-11.462392807006836
champion,1,champion,-10.67423152923584
chancellor,1,chancellor,-12.379074096679688
changed,1,changed,-9.302441596984863
channeler,2,channel_##er,-13.251953125
chaplain,1,chaplain,-11.930859565734863
character,1,character,-8.488199234008789
charged,1,charged,-11.878019332885742
charlatan,4,ch_##ar_##lat_##an,-15.425355911254883
chart,1,chart,-11.05176067352295
chased,1,chased,-11.932579040527344
chauffeur,4,ch_##au_##ffe_##ur,-17.08523941040039
cheapskate,3,cheap_##ska_##te,-21.469021797180176
cheerleader,2,cheer_##leader,-9.381875991821289
chef,1,chef,-8.881171226501465
chemist,1,chemist,-9.80701732635498
cherished,3,ch_##eri_##shed,-15.073587894439697
chief,1,chief,-8.976277351379395
child,1,child,-6.609065055847168
chiropractor,4,ch_##iro_##pra_##ctor,-27.86215305328369
choked,1,choked,-11.60351848602295
chose,1,chose,-10.955789566040039
chosen,1,chosen,-9.87743854522705
churchgoer,3,church_##go_##er,-21.09681224822998
cinematographer,1,cinematographer,-12.548210144042969
cited,1,cited,-12.083028793334961
citizen,1,citizen,-9.600179672241211
claims,1,claims,-11.762425422668457
clay,1,clay,-10.607440948486328
cleaned,1,cleaned,-12.101734161376953
clergyman,1,clergyman,-11.453604698181152
clerk,1,clerk,-9.114253997802734
closed,1,closed,-9.692631721496582
clown,1,clown,-9.245553016662598
coach,1,coach,-10.204069137573242
cobbler,3,co_##bble_##r,-17.261765480041504
coddled,2,co_##ddled,-15.940818786621094
collaborator,1,collaborator,-10.565353393554688
colonel,1,colonel,-10.179067611694336
comedian,1,comedian,-9.943120002746582
comforted,2,comfort_##ed,-12.521720886230469
commander,1,commander,-10.54167366027832
commended,1,commended,-13.058568954467773
commentator,1,commentator,-12.483795166015625
communist,1,communist,-10.348077774047852
company,1,company,-9.145390510559082
compensated,2,compensate_##d,-13.775115013122559
competitor,1,competitor,-12.139126777648926
complaint,1,complaint,-11.550865173339844
completed,1,completed,-10.264691352844238
complimented,2,compliment_##ed,-16.32269287109375
composer,1,composer,-9.990840911865234
computer,1,computer,-7.493502140045166
concealed,1,concealed,-11.548469543457031
concert,1,concert,-10.67029094696045
conductor,1,conductor,-11.667943954467773
confectioner,4,con_##fect_##ione_##r,-22.903587341308594
confirmed,1,confirmed,-9.886990547180176
confronted,1,confronted,-12.766276359558105
confused,1,confused,-8.983932495117188
congratulated,4,con_##gra_##tu_##lated,-19.07913827896118
congressman,2,congress_##man,-12.702727317810059
conned,2,con_##ned,-13.426915645599365
connoisseur,4,con_##no_##isse_##ur,-22.0296688079834
conqueror,2,conquer_##or,-12.23183822631836
conservative,1,conservative,-9.695940971374512
constable,2,con_##stable,-11.720470905303955
consulted,1,consulted,-13.156572341918945
contacted,1,contacted,-11.86339282989502
contender,1,contender,-12.088902473449707
contestant,1,contestant,-10.445025444030762
contract,1,contract,-10.745596885681152
contracted,1,contracted,-12.795907974243164
contradicted,4,con_##tra_##dict_##ed,-21.79705047607422
convalescent,3,con_##vale_##scent,-16.978914260864258
convict,1,convict,-10.31309986114502
convinced,1,convinced,-11.325109481811523
cook,1,cook,-8.141782760620117
cooked,1,cooked,-10.81250286102295
cop,1,cop,-7.690651893615723
copycat,2,copy_##cat,-10.381206512451172
corporation,1,corporation,-11.199822425842285
costumed,2,costume_##d,-13.710131645202637
couch-potato,3,couch_-_potato,-15.149367332458496
count,1,count,-8.772021293640137
countess,2,count_##ess,-12.781873226165771
courier,2,co_##urier,-13.038289070129395
courted,2,court_##ed,-14.41912031173706
cousin,1,cousin,-8.173532485961914
crackhead,2,crack_##head,-13.909664154052734
craftsman,2,crafts_##man,-12.898502349853516
crane,1,crane,-10.717855453491211
crashed,1,crashed,-12.307119369506836
created,1,created,-10.33841609954834
creditor,2,credit_##or,-15.088543891906738
criminal,1,criminal,-8.61154556274414
critic,1,critic,-11.142595291137695
criticized,1,criticized,-12.578448295593262
crop,1,crop,-10.598875999450684
crowd,1,crowd,-9.760973930358887
cryptographer,3,cry_##pt_##ographer,-15.025590896606445
culprit,4,cu_##l_##p_##rit,-17.560821533203125
cultivated,1,cultivated,-11.418231964111328
curator,1,curator,-11.627838134765625
cure,1,cure,-9.176162719726562
cushion,1,cushion,-11.875655174255371
custodian,3,cu_##sto_##dian,-16.798592567443848
customer,1,customer,-9.109870910644531
cyclist,1,cyclist,-11.173337936401367
cynic,3,c_##yn_##ic,-14.6948823928833
