word,nr. of tokens,tokens,word score
a,1,a,-6.932022571563721
aa,2,a_##a,-12.212468147277832
aaron,3,a_##aro_##n,-20.82108211517334
ab,2,a_##b,-10.360372543334961
abandon,1,abandon,-12.189208030700684
abandoned,1,abandoned,-10.32645320892334
abandoning,1,abandoning,-14.561501502990723
abbey,1,abbey,-12.086030960083008
abbot,1,abbot,-12.913583755493164
abbreviation,1,abbreviation,-14.77868938446045
abdallah,4,a_##b_##dal_##lah,-23.651121139526367
abdomen,1,abdomen,-16.49591827392578
abdominal,1,abdominal,-16.33362579345703
abed,2,a_##bed,-12.506418704986572
abel,2,a_##bel,-15.87162733078003
abell,2,a_##bell,-16.81287908554077
abernathys,4,a_##ber_##nath_##ys,-43.63345432281494
aberrant,3,a_##ber_##rant,-15.166257858276367
aberration,3,a_##ber_##ration,-13.787008285522461
aberrations,3,a_##ber_##rations,-15.974520683288574
abetted,3,a_##bet_##ted,-13.46951961517334
abeyance,3,a_##bey_##ance,-14.895282745361328
abhorrent,4,a_##b_##hor_##rent,-13.358311653137207
abide,2,a_##bide,-9.956337928771973
abides,3,a_##bide_##s,-14.557917594909668
abiding,3,a_##bid_##ing,-10.819964408874512
abilene,3,a_##bil_##ene,-15.161474227905273
abilities,1,abilities,-11.97081470489502
ability,1,ability,-10.396440505981445
abjection,3,a_##bject_##ion,-13.318889141082764
ablard,3,a_##bla_##rd,-21.19915199279785
ablation,3,a_##bla_##tion,-18.551725387573242
ablaze,3,a_##bla_##ze,-13.81360912322998
able,1,able,-8.497260093688965
ably,2,a_##bly,-11.177857875823975
abner,2,a_##bner,-12.376831531524658
abo,2,a_##bo,-13.04701280593872
aboard,1,aboard,-12.630193710327148
abode,3,a_##bo_##de,-15.294832229614258
abolish,3,a_##bol_##ish,-13.694013595581055
abolished,1,abolished,-13.869903564453125
abolition,1,abolition,-13.284941673278809
abolitionists,2,abolition_##ists,-17.08527946472168
aborigine,4,a_##bor_##igi_##ne,-26.111597061157227
aborigines,4,a_##bor_##igi_##nes,-27.604602813720703
abortion,1,abortion,-12.875432968139648
abortive,3,a_##bor_##tive,-14.630451202392578
about,1,about,-10.18166732788086
above,1,above,-9.321952819824219
aboveground,2,above_##ground,-12.68523120880127
abra,2,a_##bra,-13.051254749298096
abraham,3,a_##bra_##ham,-19.39011287689209
abreast,3,a_##bre_##ast,-12.46871280670166
abroad,1,abroad,-12.966060638427734
abrogated,3,a_##bro_##gated,-15.138774871826172
abrupt,1,abrupt,-13.52834701538086
abruptly,1,abruptly,-14.288780212402344
abruptness,2,abrupt_##ness,-14.072269439697266
abscissa,4,a_##bs_##cis_##sa,-26.11034107208252
absence,1,absence,-12.725634574890137
absences,2,absence_##s,-13.713242530822754
absent,1,absent,-11.045689582824707
absentee,2,absent_##ee,-12.851899147033691
absently,1,absently,-14.29275894165039
absentmindedly,3,absent_##mind_##edly,-19.423198699951172
absolute,1,absolute,-7.582430362701416
absolutely,1,absolutely,-6.822658538818359
absolution,4,a_##bs_##ol_##ution,-20.462724685668945
absorb,1,absorb,-13.679364204406738
absorbed,1,absorbed,-12.54296875
absorbing,1,absorbing,-13.780374526977539
absorption,1,absorption,-13.301002502441406
