word,nr. of tokens,tokens,word score
bulb,2,bul_b,-22.632325172424316
bully,2,b_ully,-18.07331657409668
bum,1,bum,-19.38306427001953
bureaucrat,4,b_ureau_cr_at,-34.70120573043823
burgled,2,burg_led,-25.67935848236084
burial,2,bur_ial,-21.38479709625244
burned,2,burn_ed,-19.263894081115723
burnt,2,bur_nt,-26.254719734191895
bus,1,bus,-17.357086181640625
busboy,2,bus_boy,-26.584518432617188
businessman,2,business_man,-18.82011604309082
butcher,2,but_cher,-20.750061988830566
button,1,button,-17.44842529296875
buyer,2,buy_er,-19.955561637878418
by,1,by,-10.329252243041992
bystander,3,by_stand_er,-23.746493816375732
cabbie,3,c_abb_ie,-26.268527030944824
cadet,3,c_ad_et,-22.120250701904297
calculated,2,cal_culated,-26.178585052490234
call,1,call,-16.304611206054688
called,1,called,-16.784748077392578
calmed,2,cal_med,-21.562135696411133
campaigner,2,campaign_er,-17.431650161743164
camper,2,cam_per,-25.776707649230957
canceled,3,c_ance_led,-26.337587356567383
candidate,2,cand_idate,-21.7146053314209
capitalist,1,capitalist,-17.141334533691406
captain,2,capt_ain,-25.423447608947754
captive,2,capt_ive,-24.123519897460938
car,1,car,-16.178491592407227
cardiologist,2,card_iologist,-28.20308208465576
caretaker,2,care_taker,-25.112481117248535
carnivore,4,c_arn_iv_ore,-31.41865587234497
carrier,2,car_rier,-24.022204399108887
cartographer,2,cart_ographer,-27.498252868652344
cartoonist,3,cart_oon_ist,-31.66306495666504
caseworker,3,cas_ework_er,-29.85736608505249
cash,1,cash,-17.83942985534668
cashier,2,cash_ier,-24.93292999267578
cast,1,cast,-16.797954559326172
caught,2,c_aught,-17.599504470825195
cautioned,3,ca_ution_ed,-26.49149513244629
celebrity,3,cele_br_ity,-30.404842376708984
cellist,2,cell_ist,-20.762789726257324
chairman,2,chair_man,-21.60645294189453
challenged,2,chall_enged,-24.239416122436523
champion,2,ch_ampion,-22.100757598876953
chancellor,2,chance_llor,-28.94086456298828
changed,1,changed,-18.89110565185547
channeler,2,channel_er,-20.200247764587402
chaplain,2,cha_plain,-27.072046279907227
character,1,character,-18.42304801940918
charged,1,charged,-16.894824981689453
charlatan,3,ch_arl_atan,-32.91599655151367
chart,1,chart,-15.207672119140625
chased,2,ch_ased,-21.887977600097656
chauffeur,4,ch_au_ffe_ur,-39.58108615875244
cheapskate,4,che_aps_k_ate,-37.21257781982422
cheerleader,3,che_er_leader,-29.093008041381836
chef,2,che_f,-22.16525650024414
chemist,1,chemist,-22.132293701171875
cherished,2,cher_ished,-23.38543701171875
chief,1,chief,-18.891063690185547
child,1,child,-17.36033058166504
chiropractor,3,chi_rop_ractor,-34.63540458679199
choked,2,ch_oked,-21.809514045715332
chose,2,ch_ose,-19.90102481842041
chosen,2,ch_osen,-22.18343162536621
churchgoer,3,church_go_er,-31.99506139755249
cinematographer,4,c_inem_at_ographer,-35.81171226501465
cited,2,c_ited,-16.99583911895752
citizen,2,c_itizen,-22.813010215759277
claims,2,claim_s,-19.930750846862793
clay,2,cl_ay,-21.77216911315918
cleaned,2,cle_aned,-27.02959632873535
clergyman,3,cler_gy_man,-34.50324630737305
clerk,2,cl_erk,-25.151445388793945
closed,1,closed,-16.994630813598633
clown,2,cl_own,-22.063926696777344
coach,2,co_ach,-21.739381790161133
cobbler,3,c_obb_ler,-27.905604362487793
coddled,3,c_odd_led,-28.118224143981934
collaborator,3,coll_abor_ator,-27.15325403213501
colonel,2,col_onel,-24.809075355529785
comedian,2,comed_ian,-28.87968921661377
comforted,2,comfort_ed,-23.45832633972168
commander,2,comm_ander,-22.120630264282227
commended,2,comm_ended,-20.297771453857422
commentator,2,comment_ator,-18.61038589477539
communist,2,commun_ist,-22.247304916381836
company,1,company,-17.170345306396484
compensated,3,comp_ens_ated,-27.55296802520752
competitor,3,comp_et_itor,-28.288545608520508
complaint,2,compl_aint,-23.31902027130127
completed,2,com_pleted,-21.974027633666992
complimented,3,compl_iment_ed,-31.02681541442871
composer,3,com_pos_er,-26.016881465911865
computer,1,computer,-18.146284103393555
concealed,3,con_ce_aled,-29.33084201812744
concert,1,concert,-18.461135864257812
conductor,2,cond_uctor,-30.36500644683838
confectioner,4,con_fect_ion_er,-34.845717430114746
confirmed,1,confirmed,-17.374698638916016
confronted,3,con_front_ed,-27.246180534362793
confused,2,conf_used,-22.86894702911377
congratulated,3,cong_rat_ulated,-36.306121826171875
congressman,3,cong_ress_man,-28.503708839416504
conned,2,con_ned,-22.876117706298828
connoisseur,4,con_no_isse_ur,-38.24072551727295
conqueror,3,con_quer_or,-28.50217056274414
conservative,1,conservative,-15.753950119018555
constable,2,const_able,-22.653244972229004
consulted,3,cons_ult_ed,-27.50443172454834
contacted,2,cont_acted,-20.644291877746582
contender,2,cont_ender,-18.60478115081787
contestant,3,cont_est_ant,-25.159035205841064
contract,1,contract,-15.494373321533203
contracted,2,cont_racted,-21.520395278930664
contradicted,3,cont_rad_icted,-30.555137634277344
